person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,,1,0.42,N,4
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,,1,0.38,Y,4
23,277000,OWN,3.0,PERSONAL,A,35000,,0,0.13,N,4
24,12000,OWN,2.0,VENTURE,E,1750,,0,0.15,Y,3
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,,1,0.04,N,4
25,12000,OWN,0.0,MEDICAL,C,3000,,1,0.25,N,3
22,56950,RENT,6.0,MEDICAL,A,28000,,1,0.49,N,2
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,,1,0.23,N,4
22,108000,RENT,6.0,EDUCATION,B,28000,,1,0.26,N,4
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,,1,0.4,N,2
22,240000,OWN,6.0,PERSONAL,B,25000,,0,0.1,N,2
24,73399,RENT,0.0,VENTURE,D,27000,,1,0.37,N,3
22,12600,MORTGAGE,,PERSONAL,A,2000,5.42,1,0.16,N,4
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,,1,0.61,N,3
24,225000,RENT,0.0,MEDICAL,B,6000,,0,0.03,N,4
22,12996,OWN,1.0,EDUCATION,B,4750,,1,0.37,N,3
22,54996,RENT,6.0,EDUCATION,B,25000,,1,0.45,N,4
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,,1,0.45,Y,4
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,,1,0.29,N,3
23,200000,MORTGAGE,7.0,EDUCATION,A,28000,,0,0.14,N,2
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,,0,0.1,N,3
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,,1,0.42,Y,2
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,,1,0.21,N,4
24,192000,RENT,0.0,MEDICAL,C,22000,,0,0.11,Y,2
26,190300,MORTGAGE,5.0,PERSONAL,A,15000,,0,0.08,N,3
22,190000,MORTGAGE,3.0,VENTURE,C,10000,,0,0.05,N,3
23,78000,RENT,7.0,DEBTCONSOLIDATION,C,25000,,1,0.32,Y,2
24,185000,MORTGAGE,,EDUCATION,B,35000,12.42,0,0.19,N,2
21,14400,MORTGAGE,0.0,MEDICAL,C,1500,,0,0.1,N,4
22,183000,MORTGAGE,3.0,EDUCATION,A,1000,,0,0.01,N,2
26,74004,RENT,10.0,DEBTCONSOLIDATION,D,25000,,1,0.34,Y,4
23,14664,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000,,1,0.41,N,4
23,15000,OWN,7.0,MEDICAL,B,4475,,1,0.3,N,4
22,175000,MORTGAGE,6.0,EDUCATION,B,18000,,0,0.1,N,2
26,110000,RENT,3.0,PERSONAL,C,25000,,0,0.23,Y,2
24,83300,RENT,0.0,MEDICAL,D,25000,,1,0.26,N,2
